Start Date,End Date,Heart Rate,Source,Device
2024-09-05T10:41:29Z,2024-09-05T10:41:29Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:41:38Z,2024-09-05T10:41:38Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:41:39Z,2024-09-05T10:41:39Z,164,马林康的Apple Watch,Apple Watch
2024-09-05T10:41:47Z,2024-09-05T10:41:47Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:41:50Z,2024-09-05T10:41:50Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:41:57Z,2024-09-05T10:41:57Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:00Z,2024-09-05T10:42:00Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:05Z,2024-09-05T10:42:05Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:13Z,2024-09-05T10:42:13Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:14Z,2024-09-05T10:42:14Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:19Z,2024-09-05T10:42:19Z,167,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:24Z,2024-09-05T10:42:24Z,167,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:32Z,2024-09-05T10:42:32Z,167,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:34Z,2024-09-05T10:42:34Z,167,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:39Z,2024-09-05T10:42:39Z,167,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:47Z,2024-09-05T10:42:47Z,167,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:49Z,2024-09-05T10:42:49Z,167,马林康的Apple Watch,Apple Watch
2024-09-05T10:42:58Z,2024-09-05T10:42:58Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:02Z,2024-09-05T10:43:02Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:05Z,2024-09-05T10:43:05Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:09Z,2024-09-05T10:43:09Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:15Z,2024-09-05T10:43:15Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:20Z,2024-09-05T10:43:20Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:24Z,2024-09-05T10:43:24Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:29Z,2024-09-05T10:43:29Z,165,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:35Z,2024-09-05T10:43:35Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:43Z,2024-09-05T10:43:43Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:45Z,2024-09-05T10:43:45Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:49Z,2024-09-05T10:43:49Z,166,马林康的Apple Watch,Apple Watch
2024-09-05T10:43:54Z,2024-09-05T10:43:54Z,165,马林康的Apple Watch,Apple Watch
